Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email
Ad,Manhattan Aesthetic Surgery,5.0,(917) 703-7069,http://www.yelp.com/biz/manhattan-aesthetic-surgery-new-york-2,http://www.manhattanaestheticsurgery.com,,60 E 56th St7th Fl,New York,NY,10022
Natural,The Dermatology & Plastic Surgery Group,4.5,(212) 884-0444,http://yelp.com/biz/the-dermatology-and-plastic-surgery-group-new-york-2,https://www.dermandplastics.com,,200 W 57th StSuite #510,New York,NY,10019
Natural,Doctors Plastic Surgery,4.5,(718) 395-5220,http://yelp.com/biz/doctors-plastic-surgery-long-island-city,,,,,,,undefined method `[]' for nil:NilClass
Natural,West Village Plastic Surgery,5.0,(646) 725-8447,http://yelp.com/biz/west-village-plastic-surgery-new-york-2,http://www.westvillageplasticsurgery.com/,,115 Washington PlaceUnit B,New York,NY,10014
Natural,Chelsea Skin and Laser,4.5,(212) 675-0549,http://yelp.com/biz/chelsea-skin-and-laser-new-york-2,http://chelseaskincenter.com/,,245 W 19th St,New York,NY,10011
Natural,New Look New Life Surgical Arts,5.0,(347) 599-0091,http://yelp.com/biz/new-look-new-life-surgical-arts-brooklyn,http://www.newlooknewlife.com/,,71 Carroll Street,Brooklyn,NY,11231
Natural,"William Portnoy, MD",4.5,(212) 366-0848,http://yelp.com/biz/william-portnoy-md-new-york,http://www.drportnoy.com,,160 W 18th St,New York,NY,10011
Natural,"Nadia Afridi, MD",5.0,(212) 421-5100,http://yelp.com/biz/nadia-afridi-md-new-york,http://www.nycfemaleplasticsurgeon.com,,815 Park Ave,New York,NY,10021
Natural,Aristocrat Plastic Surgery & MedAesthetics - Dr. Kevin Tehrani,5.0,(516) 498-9790,http://yelp.com/biz/aristocrat-plastic-surgery-and-medaesthetics-dr-kevin-tehrani-great-neck,http://www.AristocratPS.com,,560 Northern BlvdSte 109,Great Neck,NY,11021
Natural,Chelsea Eye & Cosmetic Surgery Associates,4.0,(212) 727-3717,http://yelp.com/biz/chelsea-eye-and-cosmetic-surgery-associates-new-york,http://chelseaeye.com,,157 W 19th St,New York,NY,10011
Natural,"Roman Rayham, MD",5.0,(718) 484-1022,http://yelp.com/biz/roman-rayham-md-brooklyn,http://www.rrplastix.com/,,1616B Voorhies AveSte 11W,Brooklyn,NY,11235
Ad,Manhattan Facial Plastic Surgery,4.5,(212) 452-3362,http://www.yelp.com/biz/manhattan-facial-plastic-surgery-new-york,http://www.drsamrizk.com,,1040 Park Ave,New York,NY,10028
Natural,"Garrett H Bennett, MD",5.0,(212) 980-2600,http://yelp.com/biz/garrett-h-bennett-md-new-york-2,http://www.NYCFaceMD.com,,115 E 61st StSte 7C,New York,NY,10065
Natural,Dr. Jessica Krant - Art of Dermatology,4.5,(212) 488-5599,http://yelp.com/biz/jessica-krant-art-of-dermatology-new-york,http://www.artofdermatology.com,,860 5th Avenue,New York,NY,10065
Natural,"Mordcai Blau, MD PC",4.5,(914) 428-4700,http://yelp.com/biz/mordcai-blau-md-pc-white-plains,http://www.cosmetic-md.com,,12 Greenridge Avenue,White Plains,NY,10605
